latitude,longitude,cluster_size,cities
10.367068,123.917392,9,Cebu City
10.242568,123.820027,7,Talisay City
10.315699,123.885437,7,Cebu City
10.243115,123.81461,6,Minglanilla
10.264492,123.817402,6,Talisay City
10.241117,123.819307,5,Talisay City
10.245429,123.795989,5,Minglanilla
10.290206,123.998436,5,Lapu-Lapu City
10.369329,123.916902,5,Cebu City
10.380845,123.944039,5,Consolacion
10.238312,123.816731,4,Minglanilla
10.240833,123.824125,4,Talisay City
10.245333,123.823929,4,Talisay City
10.249485,123.842524,4,Talisay City
10.25145,123.825777,4,Talisay City
10.251808,123.854186,4,Talisay City
10.258594,123.824128,4,Talisay City
10.270857,123.845315,4,Talisay City
10.275344,123.963782,4,Lapu-Lapu City
10.28411,123.975522,4,Lapu-Lapu City
10.284689,123.983362,4,Lapu-Lapu City
10.290415,123.998707,4,Lapu-Lapu City
10.300123,124.00176,4,Lapu-Lapu City
10.300342,123.88159,4,Cebu City
10.301553,123.870527,4,Cebu City
